07 янв. 2021 04:12:19,184 [main] ERROR ru.sfedu.photosearch.App - SELECT query failed to execute: Метод разрешен только для запросов. Используйте execute или executeUpdate вместо executeQuery
Method is only allowed for a query. Use execute or executeUpdate instead of executeQuery; SQL statement:
INSERT INTO test_table (name, last_name, age) VALUES ('Maksim', 'Gorky', 35) [90002-200]
07 янв. 2021 04:12:22,128 [main] ERROR ru.sfedu.photosearch.App - SELECT query failed to execute: Метод разрешен только для запросов. Используйте execute или executeUpdate вместо executeQuery
Method is only allowed for a query. Use execute or executeUpdate instead of executeQuery; SQL statement:
INSERT INTO test_table (name, last_name, age) VALUES ('Maksim', 'Gorky', 35) [90002-200]
07 янв. 2021 04:35:16,244 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 04:44:21,686 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 04:44:26,579 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 04:45:41,346 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 04:45:45,962 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 04:45:45,976 [main] INFO  ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 04:47:45,278 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 04:48:40,219 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 04:48:40,233 [main] INFO  ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 04:49:20,204 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 04:49:24,300 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 04:49:24,315 [main] INFO  ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 04:51:35,821 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 04:51:40,316 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 04:51:40,330 [main] INFO  ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 04:55:42,813 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 04:55:47,869 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 04:55:47,879 [main] ERROR ru.sfedu.photosearch.App - SELECT query failed to execute: Данный метод не разрешен для PreparedStatement; используйте Statement.
This method is not allowed for a prepared statement; use a regular statement instead. [90130-200]
07 янв. 2021 04:56:41,030 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 04:56:41,045 [main] INFO  ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 04:59:12,093 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 04:59:16,917 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 05:00:28,164 [main] INFO  ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 05:00:28,164 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 05:00:36,571 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 05:00:36,584 [main] INFO  ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 05:06:18,333 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 05:06:23,033 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 05:06:23,049 [main] INFO  ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 05:07:15,508 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 05:08:11,090 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 05:08:11,105 [main] INFO  ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 05:08:21,748 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 05:08:26,941 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 05:08:26,955 [main] INFO  ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 05:08:35,900 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 05:08:40,154 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 05:08:40,170 [main] DEBUG ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 05:10:19,515 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 05:10:24,417 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 05:10:24,431 [main] DEBUG ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 05:18:13,571 [main] INFO  ru.sfedu.photosearch.App - test completed
07 янв. 2021 05:18:28,080 [main] INFO  ru.sfedu.photosearch.App - [INSERTED 1 rows]
07 янв. 2021 05:18:28,094 [main] DEBUG ru.sfedu.photosearch.App - select contains 4
07 янв. 2021 05:18:28,094 [main] DEBUG ru.sfedu.photosearch.App - 1 Maksim Gorky 35 
07 янв. 2021 05:18:28,095 [main] DEBUG ru.sfedu.photosearch.App - 33 Maksim Gorky 35 
07 янв. 2021 05:18:28,095 [main] DEBUG ru.sfedu.photosearch.App - 65 Maksim Gorky 35 
07 янв. 2021 05:18:28,095 [main] DEBUG ru.sfedu.photosearch.App - 97 Maksim Gorky 35 
07 янв. 2021 05:18:28,095 [main] DEBUG ru.sfedu.photosearch.App - 129 Maksim Gorky 35 
07 янв. 2021 05:18:28,095 [main] DEBUG ru.sfedu.photosearch.App - 161 Maksim Gorky 35 
07 янв. 2021 05:18:28,095 [main] DEBUG ru.sfedu.photosearch.App - 193 Maksim Gorky 35 
07 янв. 2021 05:18:28,095 [main] DEBUG ru.sfedu.photosearch.App - 194 Maksim Gorky 35 
07 янв. 2021 05:18:28,096 [main] DEBUG ru.sfedu.photosearch.App - 226 Maksim Gorky 35 
07 янв. 2021 05:18:28,096 [main] DEBUG ru.sfedu.photosearch.App - 258 Maksim Gorky 35 
07 янв. 2021 05:18:28,096 [main] DEBUG ru.sfedu.photosearch.App - 290 Maksim Gorky 35 
